protocol,config,seed,split,domain,n,threshold,auc,acc,bal_acc,f1_macro,specificity_recall0,sensitivity_recall1,ppv,npv,tn,fp,fn,tp
lodo_aul,effformer_l1_eca,37,val,busi,104,0.46,0.8437001594896332,0.7980769230769231,0.7739234449760766,0.778386605783866,0.8636363636363636,0.6842105263157895,0.7428571428571429,0.8260869565217391,57,9,12,26
lodo_aul,effformer_l1_eca,37,test,aul,127,0.46,0.6763417305585979,0.5826771653543307,0.6166484118291347,0.5800736165699669,0.7272727272727273,0.5060240963855421,0.7777777777777778,0.4383561643835616,32,12,41,42
lodo_tn5000,effformer_l1,17,val,combined,206,0.31,0.8673921417565484,0.8252427184466019,0.8156779661016949,0.8190866510538641,0.75,0.8813559322033898,0.8253968253968254,0.825,66,22,14,104
lodo_tn5000,effformer_l1,17,val,busi,104,0.31,0.8341307814992026,0.7980769230769231,0.7906698564593302,0.7856932587577274,0.8181818181818182,0.7631578947368421,0.7073170731707317,0.8571428571428571,54,12,9,29
lodo_tn5000,effformer_l1,17,val,aul,102,0.31,0.7829545454545455,0.8529411764705882,0.7414772727272727,0.7622377622377623,0.5454545454545454,0.9375,0.8823529411764706,0.7058823529411765,12,10,5,75
lodo_tn5000,effformer_l1,17,test,tn5000,1000,0.31,0.5643365884804419,0.511,0.5450457584921723,0.4979873295697782,0.6227758007117438,0.4673157162726008,0.7601809954751131,0.31362007168458783,175,106,383,336
lodo_tn5000,effformer_l1,27,val,combined,206,0.71,0.886748844375963,0.8203883495145631,0.8244414483821263,0.8188472964943554,0.8522727272727273,0.7966101694915254,0.8785046728971962,0.7575757575757576,75,13,24,94
lodo_tn5000,effformer_l1,27,val,busi,104,0.71,0.8955342902711323,0.8461538461538461,0.80622009569378,0.8224498506188647,0.9545454545454546,0.6578947368421053,0.8928571428571429,0.8289473684210527,63,3,13,25
lodo_tn5000,effformer_l1,27,val,aul,102,0.71,0.7630681818181818,0.7941176470588235,0.7039772727272727,0.7006289308176101,0.5454545454545454,0.8625,0.8734177215189873,0.5217391304347826,12,10,11,69
lodo_tn5000,effformer_l1,27,test,tn5000,1000,0.71,0.6726473601631369,0.461,0.5894035310014403,0.4603389151710846,0.8825622775800712,0.29624478442280944,0.8658536585365854,0.32891246684350134,248,33,506,213
lodo_tn5000,effformer_l1,37,val,combined,206,0.28,0.8672958397534668,0.8300970873786407,0.8170261941448382,0.822356912311824,0.7272727272727273,0.9067796610169492,0.816793893129771,0.8533333333333334,64,24,11,107
lodo_tn5000,effformer_l1,37,val,busi,104,0.28,0.8787878787878788,0.8557692307692307,0.8417065390749601,0.843609022556391,0.8939393939393939,0.7894736842105263,0.8108108108108109,0.8805970149253731,59,7,8,30
lodo_tn5000,effformer_l1,37,val,aul,102,0.28,0.7,0.803921568627451,0.5948863636363636,0.6091954022988506,0.22727272727272727,0.9625,0.8191489361702128,0.625,5,17,3,77
lodo_tn5000,effformer_l1,37,test,tn5000,1000,0.28,0.6412474819218072,0.624,0.5824370542321037,0.5715099715099715,0.4875444839857651,0.6773296244784422,0.7717908082408875,0.3712737127371274,137,144,232,487
lodo_tn5000,effformer_l1_eca,17,val,combined,206,0.49,0.8663328197226503,0.8349514563106796,0.8284861325115562,0.830329457364341,0.7840909090909091,0.8728813559322034,0.8442622950819673,0.8214285714285714,69,19,15,103
lodo_tn5000,effformer_l1_eca,17,val,busi,104,0.49,0.8684210526315789,0.8173076923076923,0.8169856459330144,0.8079128997764169,0.8181818181818182,0.8157894736842105,0.7209302325581395,0.8852459016393442,54,12,7,31
lodo_tn5000,effformer_l1_eca,17,val,aul,102,0.49,0.7926136363636364,0.8529411764705882,0.7909090909090909,0.7861635220125787,0.6818181818181818,0.9,0.9113924050632911,0.6521739130434783,15,7,8,72
lodo_tn5000,effformer_l1_eca,17,test,tn5000,1000,0.49,0.4993243878657091,0.391,0.5092902855389306,0.3896517406951957,0.7793594306049823,0.23922114047287898,0.7350427350427351,0.2859007832898172,219,62,547,172
